field1,field2,field3,field4,output
206,316,301,286,Help
217,317,302,286,Food
201,317,301,286,Help
208,317,300,287,Help
206,317,302,285,Help
213,318,301,286,Help
213,317,302,287,Help
216,317,303,287,Food
208,307,296,282,Help
211,310,297,284,Help
210,311,297,285,Help
212,311,296,283,Washroom
207,310,297,283,Help
209,311,297,284,Help
207,311,296,285,Help
212,310,297,284,Washroom
213,313,296,284,Washroom
214,311,297,285,Washroom
214,312,297,285,Washroom
210,311,297,284,Help
210,314,297,286,Help
215,312,298,284,Washroom
211,312,297,284,Washroom
213,313,298,284,Washroom
211,311,298,284,Washroom
211,313,298,286,Washroom
214,314,297,285,Washroom
219,312,297,284,Washroom
211,313,297,284,Washroom
214,313,298,283,Washroom
213,315,297,285,Washroom
212,313,298,286,Washroom
213,313,298,285,Washroom
212,314,298,284,Washroom
214,313,298,287,Washroom
212,313,298,285,Washroom
213,314,297,286,Washroom
212,313,299,285,Washroom
212,312,298,284,Washroom
213,311,298,285,Washroom
211,307,297,285,Washroom
212,313,297,284,Washroom
213,313,298,284,Washroom
212,312,297,283,Washroom
216,312,298,284,Washroom
208,314,297,285,Help
214,313,297,284,Washroom
214,314,298,285,Washroom
214,313,297,285,Washroom
218,313,299,285,Washroom
212,312,299,284,Washroom
212,313,299,285,Washroom
210,312,298,285,Help
210,313,299,284,Help
210,313,298,282,Help
215,313,299,285,Washroom
211,313,299,284,Washroom
214,314,297,286,Washroom
207,317,294,282,Help
217,318,295,284,Water
212,316,295,284,Washroom
220,317,295,284,Water
209,317,295,284,Help
210,318,296,284,Help
225,316,290,282,Water
218,317,293,285,Water
218,317,295,284,Water
203,317,295,285,Help
196,317,294,284,Help
201,316,294,283,Help
229,317,294,282,Water
209,317,295,281,Help
192,318,294,282,Help
216,318,295,282,Water
211,317,296,282,Water
216,316,295,284,Water
211,316,296,283,Water
220,318,297,283,Water
217,320,296,282,Water
208,317,295,283,Help
220,313,294,283,Washroom
218,320,295,283,Water
214,316,294,283,Water
213,316,294,282,Water
206,316,296,283,Help
216,315,293,283,Washroom
206,317,294,283,Help
211,316,294,283,Water
211,316,294,283,Water
204,317,295,282,Water
209,317,295,284,Water
211,317,295,283,Water
212,317,295,283,Water
222,317,294,284,Water
214,317,296,282,Water
213,317,294,283,Water
214,317,294,283,Water
218,317,297,282,Water
210,315,296,282,Washroom
211,316,295,283,Water
211,315,295,283,Washroom
214,315,296,283,Washroom
219,316,295,283,Water
209,317,295,283,Water
224,317,295,284,Water
211,318,297,280,Water
201,317,298,280,Water
214,318,299,281,Food
211,318,299,280,Food
210,316,298,281,Food
199,318,298,282,Food
221,317,298,282,Food
213,317,298,281,Food
209,316,296,283,Water
212,317,299,282,Food
212,317,298,282,Food
216,317,297,282,Food
213,317,299,282,Food
212,317,296,280,Water
217,315,298,284,Washroom
212,317,298,282,Food
212,317,298,283,Food
212,316,298,284,Food
214,316,298,282,Food
214,316,300,282,Food
210,317,298,281,Food
214,316,297,280,Food
214,317,298,281,Food
213,314,299,280,Washroom
212,317,298,281,Food
212,315,297,280,Washroom
213,315,298,281,Washroom
209,317,298,281,Food
212,317,298,281,Food
224,318,297,281,Food
223,317,297,281,Food
207,318,298,279,Food
212,316,298,281,Food
212,316,298,280,Food
211,318,297,279,Food
211,317,298,280,Food
213,317,298,280,Food
213,317,298,278,Food
210,317,299,278,Food
212,317,298,279,Food
213,317,298,280,Food
213,317,298,279,Food
213,318,301,279,Food
221,316,297,280,Food
214,318,298,280,Food
212,316,298,280,Food
